FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
20	-24.41	-99.938	-90.607	-85.358	-75.297	-65.225	-59.738	-45.588	-39.263	-38.43	-40.116	-41.74	-39.473	-45.628	-41.677	-38.617	-31.72	-33.215	-35.99	-28.832	-39.603	-47.582	-41.97	-51.499	-55.475	-62.486	-64.208	-65.805	-66.271	-72.745	-84.564
21	-27.51	-107.563	-94.251	-83.443	-73.101	-63.156	-57.487	-44.121	-35.532	-36.155	-42.116	-35.449	-35.836	-42.087	-44.061	-39.119	-38.774	-47.281	-46.921	-41.079	-40.366	-45.772	-45.864	-48.301	-54.289	-58.507	-53.818	-56.698	-65.31	-71.005	-84.235
22	-24.347	-103.088	-90.854	-82.104	-70.144	-60.549	-56.917	-51.655	-34.851	-30.948	-34.778	-35.033	-31.782	-37.873	-42.449	-37.516	-36.109	-40.217	-40.461	-35.433	-41.905	-41.277	-45.605	-50.353	-52.802	-56.771	-49.118	-51.584	-61.536	-66.348	-80.297
23	-28.035	-107.652	-95.621	-89.501	-77.356	-67.831	-61.112	-40.235	-36.131	-41.202	-40.493	-36.817	-36.443	-43.817	-45.607	-41.787	-37.809	-47.888	-46.52	-38.523	-39.679	-48.891	-46.718	-47.503	-51.078	-55.086	-48.04	-52.145	-61.41	-68.523	-80.678
24	-28.047	-103.191	-95.616	-85.567	-74.296	-64.829	-58.261	-48.676	-39.031	-39.494	-40.655	-39.399	-38.119	-44.546	-46.775	-45.55	-37.549	-42.727	-43.204	-34.649	-45.938	-45.912	-44.954	-45.068	-51.349	-50.981	-39.838	-42.364	-53.332	-61.009	-75.942
25	-26.96	-107.439	-94.028	-83.879	-72.805	-62.001	-56.434	-49.161	-38.589	-36.476	-34.368	-37.11	-35.76	-40.276	-41.189	-38.29	-38.626	-40.008	-41.413	-43.071	-46.403	-40.79	-44.897	-47.987	-55.412	-56.416	-47.349	-52.364	-60.733	-65.668	-82.377
26	-28.86	-106.115	-92.052	-83.713	-72.556	-62.521	-58.676	-49.84	-37.481	-39.821	-40.517	-37.564	-41.126	-41.194	-38.717	-41.547	-43.565	-46.887	-47.985	-41.395	-47.304	-42.28	-43.806	-43.819	-49.409	-49.443	-42.019	-48.1	-56.62	-65.492	-77.745
27	-28.435	-98.717	-91.283	-85.707	-77.288	-65.494	-63.34	-58.683	-41.21	-35.86	-38.172	-39.648	-37.572	-47.451	-45.771	-39.741	-36.355	-41.66	-42.774	-41.535	-48.197	-45.969	-45.58	-45.531	-53.341	-53.82	-49.084	-52.65	-61.424	-67.303	-78.507
28	-23.51	-102.492	-92.229	-86.549	-76.625	-67.461	-62.048	-54.019	-33.415	-28.288	-33.075	-33.347	-29.394	-37.895	-40.924	-40.892	-48.268	-49.737	-46.629	-44.054	-49.397	-49.705	-48.446	-44.718	-46.093	-52.765	-49.894	-53.792	-60.503	-68.167	-82.937
29	-27.335	-106.561	-96.621	-89.457	-79.339	-68.332	-64.439	-52.809	-38.078	-36.469	-40.822	-37.665	-39.337	-44.289	-45.643	-41.373	-34.729	-40.541	-41.749	-34.966	-43.55	-43.738	-46.851	-49.266	-47.726	-48.368	-45.719	-52.54	-59.656	-63.336	-78.202
30	-24.485	-105.78	-91.394	-83.199	-73.249	-58.563	-53.475	-44.851	-32.425	-32.668	-36.37	-33.494	-34.56	-37.506	-41.332	-38.025	-33.004	-39.337	-46.573	-37.397	-40.554	-43.085	-43.943	-47.026	-49.562	-52.186	-47.337	-49.865	-58.666	-67.635	-80.836
31	-25.397	-103.865	-94.299	-85.124	-77.247	-64.018	-61.411	-50.447	-33.493	-32.228	-33.38	-35.176	-33.825	-37.441	-40.541	-39.61	-40.81	-44.422	-44.1	-41.326	-44.242	-47.024	-46.743	-50.426	-53.901	-55.048	-47.391	-53.739	-60.022	-67.976	-81.607
32	-24.285	-108.546	-96.704	-83.543	-74.942	-61.952	-57.604	-47.243	-36.86	-31.389	-28.69	-37.347	-35.614	-40.485	-44.586	-39.698	-34.121	-41.166	-38.006	-39.561	-48.422	-47.522	-48.923	-47.134	-54.823	-55.372	-46.907	-50.771	-61.199	-65.628	-78.686
33	-25.41	-108.986	-94.696	-85.642	-75.311	-58.096	-55.703	-43.83	-32.364	-33.976	-37.104	-34.739	-33.727	-38.989	-44.742	-41.064	-34.712	-40.319	-37.851	-39.851	-52.847	-49.341	-50.366	-54.022	-56.724	-63.891	-59.222	-62.095	-67.28	-74.925	-84.481
34	-26.935	-99.236	-88.261	-82.202	-66.082	-58.412	-55.065	-44.537	-37.47	-36.591	-41.494	-36.069	-35.674	-42.429	-42.971	-42.979	-36.092	-41.367	-45.385	-34.725	-40.551	-44.209	-43.127	-46.579	-52.076	-57.285	-51.978	-55.239	-62.594	-67.549	-82.139
35	-23.16	-103.814	-90.203	-84.913	-74.215	-59.538	-57.991	-39.234	-32.945	-32.238	-35.776	-34.629	-33.828	-38.031	-40.508	-36.721	-33.109	-35.859	-38.703	-30.218	-36.023	-41.85	-42.531	-46.272	-54.002	-61.448	-53.633	-56.862	-62.201	-70.821	-83.79
36	-28.41	-100.343	-93.523	-87.739	-76.469	-65.683	-60.813	-49.054	-41.224	-37.163	-38.096	-43.161	-40.363	-47.077	-39.939	-37.393	-35.34	-40.418	-42.051	-42.386	-45.075	-45.886	-45.015	-50.464	-59.608	-65.572	-59.96	-63.822	-65.916	-67.705	-79.143
37	-25.86	-101.997	-98.465	-88.293	-79.637	-63.387	-60.534	-52.163	-37.643	-33.576	-37.596	-39.55	-34.962	-43.91	-39.916	-38.774	-34.402	-38.397	-40.701	-36.792	-44.959	-38.106	-39.943	-46.6	-51.974	-53.798	-47.926	-46.965	-55.631	-64.788	-80.758
38	-26.035	-105.405	-96.146	-85.942	-75.789	-65.193	-58.359	-37.602	-33.994	-35.747	-38.113	-34.786	-35.216	-37.995	-38.437	-37.839	-38.834	-41.936	-42.407	-39.282	-45.662	-46.401	-46.558	-48.408	-57.933	-65.637	-57.365	-60.606	-68.893	-75.499	-87.977
39	-27.51	-108	-94.967	-87.783	-76.359	-62.804	-58.861	-42.989	-34.891	-39.1	-41.198	-35.74	-35.81	-41.609	-42.629	-41.517	-36.622	-40.43	-44.874	-41.723	-43.963	-47.796	-45.965	-49.819	-53.38	-55.312	-49.843	-56.785	-65.635	-71.408	-82.685
40	-24.435	-102.379	-94.069	-84.473	-71.413	-63.446	-58.948	-43.702	-34.512	-31.014	-33.777	-34.249	-32.307	-34.728	-37.309	-40.929	-41.522	-42.296	-44.269	-37.734	-43.491	-45.86	-43.654	-44.626	-50.713	-54.502	-50.002	-52.493	-61.311	-66.715	-80.52
41	-25.347	-108.776	-91.998	-84.178	-73.058	-63.824	-60.347	-47.623	-35.456	-33.016	-41.141	-34.363	-31.789	-40.446	-41.167	-36.616	-35.055	-39.381	-41.767	-42.976	-47.892	-42.912	-42.869	-45.859	-53.303	-55.289	-50.7	-56.376	-63.458	-68.506	-82.527
42	-24.26	-107.903	-94.226	-86.101	-73.096	-63.337	-58.133	-42.025	-37.131	-34.945	-32.891	-36.99	-32.711	-40.272	-43.419	-37.613	-29.801	-39.667	-35.16	-38.011	-48.846	-49.807	-44.334	-50.792	-61.765	-67.699	-60.713	-61.721	-66.793	-72.637	-82.817
43	-25.335	-108.059	-91.689	-83.872	-72.036	-63.834	-60.15	-53.402	-34.212	-31.142	-35.27	-35.644	-32.582	-42.222	-41.278	-42.492	-37.621	-42.954	-43.912	-37.025	-46.066	-45.688	-49.096	-55.224	-61.515	-63.908	-57.467	-58.474	-66.991	-71.234	-78.262
