FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
76	-28.035	-110.272	-96.535	-85.135	-75.949	-64.728	-63.425	-51.643	-38.363	-36.636	-38.124	-38.016	-37.53	-41.732	-47.429	-43.162	-37.476	-42.533	-40.275	-37.366	-45.963	-43.79	-45.491	-50.207	-58.615	-62.036	-56.529	-56.987	-63.707	-68.02	-80.769
77	-25.91	-105.647	-98.607	-86.183	-76.476	-62.489	-60.412	-52.869	-37.492	-33.621	-32.283	-37.302	-37.023	-40.085	-42.968	-36.947	-36.795	-45.387	-39.931	-39.404	-45.619	-39.85	-42.229	-45.612	-52.688	-60.9	-56.985	-54.882	-62.412	-71.999	-84.162
78	-26.472	-109.104	-93.77	-86.322	-74.202	-60	-57.008	-46.408	-37.31	-34.74	-37.474	-35.88	-37.949	-42.244	-39.426	-41.64	-38.011	-40.265	-43.269	-33.851	-44.001	-42.775	-41.797	-44.408	-51.677	-59.513	-52.795	-55.238	-61.37	-69.813	-77.633
79	-26.647	-109.469	-96.169	-91.392	-80.619	-68.846	-64.277	-51.206	-37.1	-34.634	-35.052	-38.168	-36.509	-43.368	-40.928	-38.984	-34.629	-37.892	-42.608	-39.185	-48.329	-49.782	-48.698	-51.874	-57.124	-59.851	-54.822	-58.5	-65.317	-73.545	-83.312
80	-28.985	-101.494	-96.027	-86.797	-74.757	-63.483	-59.033	-50.278	-35.297	-37.463	-43.471	-38.564	-41.852	-43.766	-43.495	-38.877	-37.629	-43.499	-48.997	-47.402	-48.121	-48.547	-44.769	-53.204	-52.211	-55.303	-49.173	-53.121	-60.692	-68.341	-80.843
81	-23.26	-100.806	-90.055	-80.364	-68.381	-55.49	-50.641	-43.063	-35.457	-31.714	-33.944	-33.419	-32.34	-38.623	-40.598	-37.091	-32.471	-38.911	-43.094	-31.622	-42.575	-44.921	-43.913	-42.756	-40.044	-46.771	-38.612	-40.779	-53.099	-60.151	-76.634
82	-23.372	-101.147	-85.972	-83.743	-71.769	-59.886	-53.712	-42.217	-30.292	-31.285	-36.354	-30.002	-30.478	-36.451	-38.134	-41.603	-42.974	-48.412	-47.421	-39.295	-45.506	-43.338	-43.834	-44.598	-48.524	-51.752	-47	-52.342	-60.234	-68.921	-77.048
83	-25.81	-109.035	-93.468	-83.816	-74.087	-61.564	-57.458	-39.701	-35.003	-34.817	-33.422	-33.573	-33.074	-37	-47.097	-47.73	-39.47	-50.94	-53.304	-47.138	-46.141	-43.263	-42.161	-48.928	-59.136	-59.646	-47.84	-54.128	-64.444	-68.074	-78.095
84	-27.635	-96.194	-90.394	-83.338	-73.763	-61.419	-60.368	-52.853	-38.718	-33.499	-38.066	-40.013	-34.736	-43.489	-42.754	-40.601	-41.007	-43.874	-47.368	-39.956	-47.683	-42.753	-46.571	-49.367	-48.884	-51.805	-45.437	-48.919	-58.305	-66.556	-76.882
85	-26.21	-108.261	-94.411	-83.43	-71.386	-63.171	-59.628	-39.772	-36.843	-36.51	-39.141	-38.681	-38.02	-43.857	-40.333	-35.721	-34.01	-42.239	-45.189	-35.113	-38.469	-45.267	-43.176	-44.992	-47.084	-51.715	-46.671	-51.886	-59.429	-67.265	-77.354
86	-25.897	-109.219	-97.62	-87.835	-80.196	-69.981	-66.219	-49.13	-38.181	-36.223	-38.488	-39.262	-38.613	-47.281	-44.917	-38.22	-31.57	-39.084	-40.749	-32.259	-43.175	-48.286	-43.834	-48.901	-53.044	-56.035	-51.916	-56.129	-64.485	-71.08	-76.627
87	-25.647	-95.028	-88.752	-77.938	-68.827	-60.252	-54.898	-51.037	-37.444	-32.111	-34.044	-37.813	-33.607	-41.741	-43.468	-41.371	-34.148	-39.531	-41.418	-38.084	-45.221	-46.576	-47.648	-51.568	-56.12	-59.593	-54.24	-53.147	-62.72	-71.245	-83.713
88	-25.435	-97.294	-91.464	-85.08	-78.376	-67.157	-62.202	-41.887	-33.819	-33.987	-38.752	-33.413	-33.744	-41.479	-41.475	-39.434	-36.315	-42.087	-42.62	-35.608	-39.997	-46.731	-45.273	-48.099	-55.895	-68.616	-60.79	-62.655	-67.253	-68.451	-78.494
89	-28.235	-100.066	-92.418	-84.164	-73.234	-62.838	-58.591	-45.745	-37.14	-36.373	-38.519	-36.203	-38.219	-44.701	-46.009	-42.917	-41.545	-47.589	-47.115	-39.266	-44.236	-47.168	-46.339	-43.183	-47.267	-48.179	-43.281	-49.085	-58.755	-62.077	-78.602
90	-26.672	-106.122	-94.204	-83.62	-72.847	-62.698	-57.686	-43.724	-34.885	-36.93	-41.39	-35.622	-37.588	-40.303	-36.802	-38.882	-36.844	-40.383	-39.187	-39.769	-47.787	-41.163	-43.627	-48.421	-56.485	-57.047	-54.806	-59.131	-63.509	-71.242	-85.39
91	-23.972	-105.646	-94.788	-86.937	-76.218	-67.218	-62.553	-47.236	-37.605	-32.169	-33.533	-36.444	-27.917	-35.474	-45.241	-42.754	-37.235	-43.383	-40.719	-37.445	-45.237	-42.862	-48.24	-50.48	-54.585	-54.883	-44.258	-51.785	-61.488	-64.637	-76.912
92	-25.049	-98.494	-88.819	-82.376	-71.86	-57.226	-53.816	-47.702	-34.011	-31.99	-36.761	-34.981	-34.439	-40.276	-41.042	-38.392	-34.897	-40.102	-45.601	-35.727	-39.711	-43.958	-45.467	-49.056	-52.52	-52.252	-46.575	-52.584	-62.093	-66.656	-82.723
93	-25.222	-99.509	-90.246	-84.667	-69.604	-58.126	-56.66	-51.596	-32.384	-32.117	-38.69	-32.432	-34.54	-36.131	-38.234	-41.851	-39.492	-40.456	-46.075	-41.527	-47.107	-46.604	-50.512	-52.718	-56.853	-52.066	-52.2	-60.991	-63.354	-68.843	-81.454
94	-24.797	-106.495	-93.073	-86.931	-75.185	-64.132	-57.885	-43.095	-34.03	-32.395	-33.832	-34.891	-31.575	-39.019	-41.248	-40.975	-37.468	-41.637	-40.479	-38.611	-47.901	-40.521	-43.838	-47.621	-54.736	-54.703	-49.135	-55.929	-61.215	-66.655	-80.652
95	-26.697	-104.617	-99.168	-89.091	-78.471	-67.684	-62.397	-40.596	-36.923	-39.603	-40.111	-35.228	-38.266	-41.038	-44.259	-42.678	-34.972	-40.241	-41.19	-33.883	-39.654	-46.469	-45.02	-52.707	-55.879	-59.68	-55.076	-56.827	-64.073	-70.348	-80.918
96	-28.822	-102.627	-94.247	-88.045	-77.494	-65.019	-59.313	-49.995	-42.086	-39.402	-38.106	-39.933	-36.577	-40.639	-42.921	-40.662	-39.57	-43.924	-49.166	-41.578	-41.545	-42.547	-43.206	-50.032	-52.016	-53.654	-45.952	-52.546	-61.782	-64.71	-77.255
97	-25.072	-108.243	-91.777	-85.213	-75.507	-61.623	-59.219	-47.81	-34.475	-34.548	-34.736	-33.385	-36.648	-38.922	-40.361	-36.848	-33.193	-36.438	-40.806	-40.181	-46.729	-46.361	-46.419	-47.746	-54.103	-54.664	-46.19	-47.644	-59.285	-64.722	-79.815
98	-25.96	-103.437	-93.597	-85.493	-74.825	-65.442	-60.225	-51.132	-38.168	-34.703	-39.199	-38.219	-35.851	-41.661	-39.113	-38.569	-34.664	-40.223	-37.673	-33.44	-44.989	-42.901	-42.263	-48.224	-51.66	-56.961	-52.022	-56.223	-63.039	-67.64	-78.136
99	-29.01	-102.175	-96.664	-87.999	-74.146	-61.343	-58.152	-46.315	-37.375	-37.791	-41.37	-35.964	-37.269	-43.545	-43.679	-43.834	-45.275	-53.948	-54.601	-42.871	-40.974	-48.406	-46.617	-46.587	-49.252	-54.211	-48.097	-49.407	-59.63	-66.21	-80.503
100	-27.31	-107.813	-94.517	-87.377	-75.929	-67.985	-66.202	-42.537	-34.377	-39.951	-43.895	-35.811	-37.867	-40.026	-40.728	-39.832	-37.614	-42.884	-44.759	-37.835	-40.188	-46.652	-41.201	-48.904	-57.06	-70.925	-65.242	-65.786	-67.542	-73.218	-84.158
101	-25.235	-106.063	-90.636	-85.839	-76.207	-66.123	-57.335	-44.596	-35.004	-31.164	-40.22	-33.863	-30.264	-39.444	-43.931	-43.497	-44.423	-52.808	-49.837	-41.659	-45.325	-43.438	-46.79	-47.193	-49.42	-50.025	-44.353	-51.543	-58.415	-64.192	-78.798
102	-26.222	-106.404	-96.543	-89.918	-76.666	-63.994	-60.05	-49.593	-36.32	-34.434	-35.949	-36.718	-36.606	-41.108	-46.364	-45.619	-36.086	-39.22	-42.851	-33.589	-39.558	-48.111	-47.41	-49.073	-56.444	-58.273	-50.337	-56.158	-65.458	-69.147	-82.28
103	-27.722	-98.927	-90.428	-85.705	-74.68	-61.821	-56.645	-52.213	-36.78	-34.797	-42.309	-39.129	-38.105	-45.886	-43.429	-37.386	-36.939	-43.077	-47.017	-37.116	-42.671	-47.922	-47.551	-49.642	-52.487	-56.443	-51.666	-52.399	-60.663	-69.027	-80.17
104	-26.422	-96.962	-92.499	-86.037	-75.952	-59.346	-57.921	-35.245	-36.963	-37.881	-38.952	-39.851	-36.628	-45.609	-40.515	-37.078	-34.894	-43.884	-38.057	-35.091	-47.095	-50.208	-48.018	-50.99	-53.834	-57.454	-48.691	-52.614	-62.062	-69.99	-82.28
105	-25.385	-108.629	-91.18	-86.035	-75.821	-64.405	-56.414	-52.987	-35.956	-31.219	-37.271	-37.496	-32.467	-40.479	-39.946	-38.063	-36.563	-41.145	-41.646	-38.551	-41.465	-44.539	-47.606	-48.175	-54.378	-57.72	-48.538	-51.089	-62.21	-69.25	-80.662
106	-26.385	-107.394	-95.445	-87.596	-75.888	-65.852	-60.299	-49.255	-35.803	-33.942	-39.661	-34.316	-35.067	-41.917	-42.152	-39.136	-37.531	-44.387	-43.912	-40.622	-42.709	-40.91	-41.759	-43.74	-49.044	-52.074	-44.564	-50.342	-60.066	-64.255	-77.156
107	-27.985	-106.056	-98.163	-87.561	-78.061	-66.417	-57.744	-52.017	-34.081	-36.617	-39.793	-35.571	-38.242	-39.598	-39.413	-42.553	-44.3	-50.564	-54.058	-48.674	-47.486	-44.162	-47.412	-48.028	-47.206	-52.653	-48.506	-50.581	-60.493	-67.175	-80.712
108	-25.135	-107.46	-94.15	-85.67	-74.432	-59.792	-52.731	-49.75	-35.971	-32.838	-35.286	-35.762	-32.327	-40.921	-42.893	-39.102	-35.865	-36.382	-43.327	-36.579	-47.157	-41.014	-43.76	-45.695	-54.846	-56.217	-48.114	-51.75	-61.504	-67.792	-82.598
109	-27.472	-108.862	-98.494	-86.555	-77.458	-65.186	-63.029	-44.196	-41.48	-35.64	-37.506	-41.027	-31.969	-42.754	-43.981	-43.462	-39.215	-44.698	-39.982	-41.262	-51.506	-43.671	-48.053	-47.798	-59.613	-64.589	-55.742	-55.094	-65.695	-70.776	-83.876
110	-27.91	-110.608	-99.348	-90.336	-79.687	-68.597	-66.513	-56.773	-39.969	-35.926	-39.315	-42.29	-39.209	-43.546	-40.211	-36.944	-38.734	-48.336	-44.296	-36.511	-41.765	-45.312	-44.38	-43.746	-49.389	-49.136	-43.915	-49.199	-58.747	-64.896	-77.85
111	-23.372	-104.977	-95.923	-88.788	-77.28	-64.986	-58.774	-54.317	-37.658	-31.115	-35.459	-36.113	-32.223	-40.179	-35.496	-35.566	-30.738	-38.485	-37.333	-32.437	-42.047	-45.282	-43.32	-43.667	-50.517	-50.949	-45.16	-48.742	-58.135	-65.748	-79.684
112	-26.635	-102.195	-92.751	-85.506	-73.897	-57.776	-55.019	-38.044	-36.83	-37.192	-38.771	-38.839	-38.143	-43.577	-41.913	-36.25	-34.579	-40.696	-38.638	-36.616	-42.896	-49.432	-46.739	-49.798	-55.879	-57.538	-49.128	-56.566	-64.956	-67.765	-79.074
113	-26.172	-99.054	-93.632	-85.5	-74.173	-65.585	-60.292	-44.915	-34.242	-35.348	-37.719	-36.842	-39.274	-40.723	-40.432	-36.668	-34.68	-39.671	-42.544	-35.909	-45.24	-49.957	-46.585	-49.185	-47.122	-51.085	-47.987	-50.065	-58.932	-63.99	-77.162
114	-25.872	-104.735	-88.417	-82.17	-73.255	-59.951	-56.866	-43.509	-37.237	-31.955	-36.778	-36.971	-32.728	-41.254	-40.64	-38.65	-37.378	-37.643	-43.575	-41.443	-44.832	-47.4	-49.649	-54.406	-62.34	-68.756	-64.649	-64.436	-68.112	-72.614	-82.819
115	-25.485	-100.39	-92.802	-84.689	-73.63	-61.207	-57.512	-47.688	-36.714	-33.804	-35.685	-37.766	-36.572	-40.266	-41.03	-37.337	-33.681	-39.748	-38.883	-33.823	-43.39	-42.618	-43.577	-50.061	-59.454	-64.426	-57.792	-57.633	-63.406	-71.402	-81.416
116	-27.372	-99.822	-92.347	-85.218	-75.04	-60.068	-58.551	-53.676	-36.617	-34.867	-41.705	-36.614	-37.537	-45.01	-44.811	-41.085	-35.387	-43.259	-42.424	-37.64	-46.039	-44.288	-48.274	-48.031	-49.614	-52.1	-44.175	-48.877	-57.494	-65.058	-80.389
117	-24.035	-102.525	-92.864	-84.66	-74.938	-64.54	-60.69	-45.311	-34.018	-31.376	-39.134	-33.398	-28.301	-37.297	-45.977	-42.987	-38.298	-45.869	-45.957	-38.868	-47.023	-40.145	-41.21	-42.952	-50.754	-67.184	-61.914	-62.064	-65.013	-68.81	-80.745
118	-25.46	-105.487	-91.4	-84.5	-74.433	-63.432	-53.294	-50.16	-35.04	-31.858	-33.457	-34.644	-32.695	-40.72	-46.304	-42.069	-38.856	-45.777	-43.707	-38.383	-49.873	-48.687	-48.576	-46.85	-54.372	-56.451	-48.399	-53.626	-63.428	-71.045	-85.892
119	-24.21	-103.636	-96.015	-89.075	-79.811	-67.134	-64.253	-50.557	-37.122	-37.196	-35.729	-36.227	-33.407	-41.602	-42.504	-39.278	-33.712	-37.202	-37.573	-29.507	-38.798	-40.733	-40.003	-44.845	-52.163	-57.059	-50.782	-52.817	-59.849	-64.774	-77.844
120	-27.185	-99.284	-92.833	-85.855	-79.116	-70.13	-64.151	-48.86	-36.318	-36.344	-44.983	-36.894	-36.552	-40.968	-38.687	-40.808	-40.108	-43.326	-43.864	-36.04	-41.098	-41.911	-40.839	-46.081	-48.114	-53.244	-48.218	-50.417	-61.047	-67.026	-80.886
121	-26.197	-109.318	-95.5	-85.124	-74.972	-63.387	-59.998	-41.836	-39.2	-37.846	-39.699	-38.084	-37.036	-44.513	-41.524	-40.906	-33.907	-37.918	-42.061	-32.728	-37.184	-43.611	-44.688	-47.379	-54.449	-57.122	-53.551	-58.172	-63.375	-69.473	-81.341
122	-27.385	-105.387	-92.403	-84.031	-74.837	-65.38	-59.236	-40.029	-34.237	-36.908	-40.112	-34.11	-36.644	-40.632	-44.512	-43.518	-38.432	-46.967	-47.179	-43.017	-46.06	-46.317	-47.243	-49.862	-56.37	-61.353	-53.674	-56.568	-65.371	-72.148	-82.08
123	-26.747	-104.612	-98.7	-88.887	-77.73	-62.777	-58.497	-56.447	-38.998	-35.604	-38.596	-41.7	-37.942	-44.576	-40.551	-37.055	-33.228	-40.948	-38.721	-36.64	-41.272	-49.268	-43.489	-50.636	-52.629	-55.864	-50.131	-51.598	-60.141	-70.206	-83.06
124	-27.972	-101.524	-94.176	-85.595	-76.705	-61.982	-57.295	-42.48	-36.841	-38.938	-39.343	-35.203	-35.569	-42.547	-43.681	-41.789	-39.641	-46.265	-46.597	-41.063	-48.736	-41.488	-44.129	-49.672	-53.401	-57.191	-53.33	-54.398	-62.141	-70.151	-80.993
125	-28.885	-106.5	-94.244	-86.766	-75.104	-63.242	-61.6	-45.755	-40.757	-36.846	-40.863	-39.591	-36.638	-44.326	-45.974	-47.869	-40.268	-44.477	-45.378	-37.231	-48.277	-46.136	-44.689	-45.634	-50.748	-51.166	-43.977	-48.574	-59.216	-64.438	-76.775
126	-24.447	-110.462	-95.06	-88.661	-77.926	-65.947	-58.516	-53.183	-33.051	-30.097	-36.063	-33.859	-30.567	-40.211	-45.154	-43.467	-36.039	-42.86	-48.53	-44.169	-44.974	-43.139	-43.808	-50.337	-59.151	-58.696	-51.405	-58.621	-64.17	-68.569	-79.132
127	-25.697	-105.18	-93.549	-82.225	-72.523	-59.921	-56.308	-40.917	-32.36	-35.968	-40.17	-32.502	-35.978	-39.022	-39.968	-38.632	-37.737	-44.508	-49.705	-38.221	-39.149	-47.122	-44.167	-48.149	-50.493	-66.184	-63.149	-61.798	-65.054	-71.086	-82.479
128	-26.997	-107.859	-93.878	-85.563	-75.564	-65.088	-61.127	-47.586	-37.822	-33.914	-35.1	-38.355	-36.331	-42.51	-40.03	-40.382	-37.876	-44.507	-43.173	-44.846	-46.068	-45.579	-43.033	-42.927	-46.343	-49.824	-43.696	-48.225	-59.216	-64.162	-76.06
129	-26.085	-106.512	-91.166	-86.869	-75.32	-63.581	-60.676	-52.44	-34.067	-34.677	-41.618	-35.065	-36.337	-42.038	-46.55	-41.32	-33.139	-41.656	-38.956	-37.34	-51.404	-49.151	-47.331	-43.364	-49.876	-51.503	-43.839	-50.634	-60.916	-64.89	-80.26
130	-27.935	-108.175	-95.721	-88.985	-78.491	-66.17	-59.623	-41.267	-38.577	-41.117	-41.163	-37.332	-40.612	-43.007	-41.471	-37.271	-36.68	-39.518	-37.885	-38.565	-48.239	-47.117	-46.26	-52.145	-62.029	-59.639	-52.082	-58.202	-64.359	-70.115	-80.67
131	-25.66	-106.634	-95.569	-85.104	-72.363	-61.721	-58.09	-45.224	-37.667	-35.303	-32.232	-38.095	-37.366	-36.663	-42.033	-39.805	-33.651	-37.556	-40.28	-36.441	-49.551	-50.741	-48.679	-52.595	-58.602	-58.054	-54.548	-61.856	-68.525	-73.143	-85.471
132	-27.435	-102.056	-96.418	-88.415	-77.892	-67.481	-62.496	-51.453	-34.984	-34.179	-42.822	-35.405	-35.572	-40.933	-42.642	-43.585	-38.326	-41.633	-47.401	-44.587	-49.934	-46.188	-47.534	-49.379	-54.599	-56.317	-50.855	-54.609	-64.329	-71.524	-83.267
133	-24.785	-106.796	-92.412	-85.874	-74.843	-61.654	-58.076	-40.893	-34.486	-32.074	-34.429	-33.426	-31.256	-39.2	-46.05	-40.935	-36.173	-42.453	-44.219	-42.886	-46.313	-45.262	-45.486	-47.06	-50.906	-53.149	-44.102	-45.545	-54.9	-62.614	-70.354
134	-26.16	-104.081	-94.821	-86.629	-77.017	-62.706	-58.475	-55.346	-43.505	-37.146	-36.383	-44.979	-40.675	-43.533	-44.507	-38.073	-32.532	-36.852	-36.793	-32.086	-47.177	-50.057	-47.101	-54.536	-54.429	-59.927	-57.803	-57.745	-64.906	-73.457	-83.837
135	-27.71	-102.53	-90.466	-81.062	-72.215	-58.496	-55.289	-45.048	-34.982	-38.146	-41.523	-34.271	-36.99	-38.643	-39.72	-45.94	-42.43	-44.76	-50.068	-44.939	-47.604	-47.034	-44.815	-44.74	-49.365	-50.72	-44.149	-48.586	-58.462	-65.958	-77.615
136	-28.76	-102.749	-94.94	-85.408	-74.047	-65.801	-58.925	-42.459	-36.405	-36.275	-43.263	-38.182	-37.024	-43.613	-46.111	-47.285	-41.175	-47.282	-48.212	-39.598	-49.3	-44.109	-45.021	-47.926	-53.667	-54.837	-48.726	-48.095	-59.02	-67.099	-77.785
137	-27.985	-102.549	-95.794	-87.297	-75.746	-65.439	-60.375	-52.925	-36.766	-35.641	-37.411	-39.742	-37.693	-42.375	-41.814	-40.413	-39.941	-44.641	-49.158	-41.612	-42.446	-41.746	-42.319	-46.563	-48.859	-52.602	-48.479	-48.772	-56.088	-63.619	-76.93
138	-25.535	-105.019	-93.607	-83.688	-73.911	-62.829	-56.998	-56.55	-37.677	-33.338	-38.032	-37.399	-33.208	-44.353	-40.945	-38.243	-32.91	-40.72	-36.125	-37.467	-50.557	-42.973	-45.591	-49.001	-55.341	-58.464	-50.757	-55.428	-61.598	-67.778	-78.137
139	-27.097	-106.823	-95.909	-86.641	-78.58	-66.749	-58.361	-41.871	-34.804	-36.469	-42.235	-35.801	-35.539	-41.198	-42.081	-42.557	-36.973	-42.972	-43.621	-36.524	-46.086	-50.314	-49.214	-52.912	-55.931	-57.115	-53.294	-59.944	-61.32	-69.382	-83.09
140	-24.285	-100.189	-94.979	-86.184	-74.172	-64.664	-57.204	-40.789	-32.274	-34.865	-39.256	-31.025	-33.445	-38.065	-38.273	-35.447	-35.309	-45.488	-44.803	-35.712	-40.562	-41.663	-42.377	-46.133	-52.916	-67.161	-59.878	-59.755	-62.997	-71.002	-81.424
141	-26.422	-104.764	-91.906	-82.315	-76.003	-65.613	-60.359	-51.117	-36.604	-32.647	-34.284	-34.861	-33.988	-41.109	-42.074	-41.159	-42.753	-45.109	-43.832	-46.329	-52.898	-44.457	-47.09	-46.977	-55.229	-54.78	-49.79	-57.17	-66.055	-69.16	-83.533
142	-23.185	-103.328	-89.293	-80.215	-71.463	-61.407	-56.846	-46.31	-34.367	-28.336	-29.784	-35.519	-29.658	-36.577	-43.187	-40.668	-42.239	-49.761	-53.187	-43.556	-46.142	-43.789	-45.733	-46.718	-47.46	-50.979	-46.634	-48.68	-55.119	-63.905	-77.434
143	-26.435	-109.359	-92.479	-86.151	-75.668	-62.962	-58.187	-48.173	-34.195	-34.643	-36.49	-36.923	-35.807	-39.016	-42.351	-37.814	-35.273	-39.488	-45.03	-42.846	-45.617	-48.223	-48.696	-54.814	-62.664	-76.931	-71.795	-70.24	-71.869	-74.722	-86.674
144	-27.622	-108.324	-95.233	-84.898	-73.793	-64.228	-57.883	-45.889	-35.722	-38.978	-44.027	-37.111	-41.381	-39.712	-44.328	-39.195	-34.087	-40.009	-37.954	-41.707	-52.334	-52.456	-47.415	-51.213	-57.569	-52.984	-47.564	-57.331	-62.759	-68.221	-80.497
145	-24.147	-102.999	-92.388	-85.346	-74.859	-64.717	-58.289	-39.977	-34.737	-34.09	-37.267	-35.053	-34.85	-40.768	-39.226	-38.471	-33.004	-37.568	-37.257	-31.414	-38.474	-45.091	-38.73	-43.911	-51.008	-58.202	-53.978	-56.288	-62.715	-66.295	-78.201
146	-26.847	-104.227	-93.894	-84.913	-71.834	-62.458	-58.867	-49.518	-39.739	-35.107	-33.126	-39.201	-36.122	-37.146	-42.224	-38	-38.848	-40.8	-44.922	-44.24	-51.462	-46.028	-46.218	-45.223	-49.404	-50.669	-45.79	-48.538	-57.719	-64.045	-78.278
147	-25.51	-109.204	-93.254	-83.123	-72.715	-62.646	-58.282	-44.08	-35.062	-34.69	-34.714	-37.164	-36.045	-41.767	-42.185	-37.073	-33.41	-37.587	-41.52	-35.269	-45.407	-48.416	-47.618	-51.802	-58.146	-57.618	-48.433	-53.572	-61.324	-66.053	-76.299
148	-25.51	-101.34	-89.973	-83.405	-71.426	-64.117	-58.398	-53.168	-36.561	-33.213	-33.49	-38.86	-36.885	-39.317	-38.029	-36.449	-33.884	-37.821	-43.147	-38.525	-43.146	-46.625	-48.607	-48.536	-52.088	-52.502	-47.76	-56.407	-62.225	-66.737	-78.661
149	-26.96	-98.79	-95.703	-85.366	-73.737	-59.305	-56.169	-46.035	-38.724	-37.893	-39.454	-35.784	-35.751	-44.249	-50.744	-43.101	-34.529	-40.67	-40.171	-38.54	-42.429	-41.811	-39.082	-44.915	-50.188	-52.616	-45.659	-51.232	-57.943	-65.445	-80.086
150	-27.197	-104.801	-91.852	-86.443	-76.108	-61.01	-58.095	-47.326	-36.944	-33.623	-43.248	-38.24	-32.403	-44.225	-42.765	-39.836	-39.763	-45.611	-49.508	-40.958	-46.069	-44.486	-46.922	-47.904	-56.454	-59.799	-52.339	-56.409	-65.199	-71.732	-83.446
151	-25.535	-102.421	-93.605	-86.731	-72.775	-62.511	-58.417	-56.564	-38.041	-33.655	-29.218	-39.493	-34.943	-39.017	-41.159	-41.731	-40.174	-47.213	-47.029	-38.418	-44.641	-43.57	-49.632	-55.529	-63.229	-68.9	-64.904	-67.153	-69.137	-73.937	-84.55
152	-24.147	-99.799	-89.228	-83.426	-74.221	-62.876	-54.689	-49.511	-36.139	-28.785	-34.623	-37.968	-32.293	-39.178	-40.671	-38.298	-38.009	-44.337	-45.379	-35.928	-38.559	-47.393	-42.682	-44.4	-42.214	-47.556	-42.067	-42.374	-53.381	-64.701	-74.334
153	-27.385	-102.823	-93.649	-85.963	-76.101	-66.32	-62.479	-55.629	-39.76	-34.949	-37.085	-42.218	-38.333	-46.111	-42.298	-37.309	-34.598	-46.164	-45.719	-38.046	-43.013	-44.886	-41.729	-44.029	-51.894	-54.663	-49.864	-52.653	-61.527	-67.543	-78.14
154	-25.46	-100.98	-92.927	-86.118	-76.942	-65.721	-61.953	-41.508	-36.006	-37.567	-39.787	-35.6	-34.511	-42.656	-48.383	-42.769	-33.835	-38.394	-39.572	-32.003	-39.656	-43.231	-41.753	-47.176	-51.775	-55.036	-51.426	-57.003	-65.071	-68.366	-80.334
155	-28.035	-103.807	-90.395	-84.545	-70.547	-60.402	-55.028	-44.121	-36.524	-38.43	-40.712	-34.605	-38.451	-41.065	-44.903	-42.181	-40.593	-50.162	-50.358	-43.725	-41.034	-43.751	-41.341	-42.381	-47.756	-53.28	-46.289	-49.626	-60.5	-66.566	-79.602
156	-27.247	-105.515	-91.892	-80.623	-71.919	-60.042	-54.819	-42.928	-37.713	-36.703	-41.183	-37.721	-36.473	-46.816	-41.311	-39.355	-37.517	-44.699	-48.568	-38.138	-37.823	-39.973	-40.604	-45.63	-48.822	-52.419	-47.924	-48.17	-58.959	-67.293	-78.422
157	-25.097	-104.537	-90.795	-81.984	-72.22	-63.151	-57.689	-48.868	-37.845	-34.377	-38.581	-36.615	-32.454	-39.65	-46.432	-41.032	-32.2	-37.534	-37.879	-35.833	-39.444	-42.243	-40.083	-48.824	-57.834	-69.939	-68.388	-67.832	-68.632	-71.104	-81.685
158	-28.572	-111.118	-95.076	-87.913	-73.447	-64.349	-59.705	-54.075	-38.899	-37.071	-38.537	-39.158	-39.478	-41.758	-45.688	-39.243	-36.79	-39.393	-42.747	-43.822	-48.007	-47.605	-46.388	-49.399	-52.287	-56.81	-50.757	-55.591	-63.206	-69.873	-82.902
159	-26.185	-102.833	-90.792	-78.428	-67.449	-56.529	-58.178	-45.448	-32.581	-37.19	-43.741	-32.835	-34.753	-37.642	-42.376	-45.042	-38.812	-41.837	-43.842	-37.822	-45.374	-47.629	-48.502	-45.543	-52.312	-48.424	-47.681	-57.179	-58.165	-66.258	-79.868
160	-26.885	-96.926	-86.188	-81.469	-74.314	-63.613	-59.328	-45	-36.271	-34.732	-42.01	-35.779	-33.746	-39.511	-43.707	-42.672	-38.463	-44.052	-43.002	-39.326	-40.782	-44.193	-43.771	-49.12	-53.348	-57.748	-52.143	-59.661	-68.009	-72.338	-82.247
161	-28.21	-105.771	-93.459	-85.536	-75.798	-66.454	-58.954	-43.519	-37.542	-35.913	-39.79	-37.496	-36.984	-40.597	-43.52	-43.954	-39.027	-45.554	-42.685	-38.536	-49.471	-53.115	-50.354	-45.696	-55.541	-56.943	-49.176	-55.573	-64.152	-70.376	-84.281
162	-24.985	-101.86	-91.609	-84.693	-73.463	-60.798	-58.12	-44.442	-34.46	-33.181	-36.058	-34.565	-36.806	-39.493	-38.854	-36.776	-34.817	-43.218	-40.015	-33.514	-40.43	-46.927	-45.43	-47.643	-53.546	-55.164	-47.084	-50.001	-58.376	-64.696	-78.642
163	-27.185	-104.819	-93.43	-83.919	-75.788	-62.836	-59.228	-48.418	-35.489	-34.083	-40.989	-37.68	-37.402	-43.769	-40.882	-38.407	-38.226	-40.417	-46.167	-37.673	-44.373	-44.552	-44.99	-49.866	-53.137	-55.997	-50.995	-53.783	-61.631	-69.163	-79.606
