L_FB,L_SB,L_F20,L_F25,L_F32,L_F40,L_F50,L_F63,L_F80,L_F100,L_F125,L_F160,L_F200,L_F250,L_F315,L_F400,L_F500,L_F630,L_F800,L_F1k,L_F1k25,L_F1k6,L_F2k,L_F2k5,L_F3k15,L_F4k,L_F5k,L_F6k3,L_F8k,L_F10k,L_F12k5,L_F16k,L_F20k,L_S20,L_S25,L_S32,L_S40,L_S50,L_S63,L_S80,L_S100,L_S125,L_S160,L_S200,L_S250,L_S315,L_S400,L_S500,L_S630,L_S800,L_S1k,L_S1k25,L_S1k6,L_S2k,L_S2k5,L_S3k15,L_S4k,L_S5k,L_S6k3,L_S8k,L_S10k,L_S12k5,L_S16k,L_S20k
0,0,31.512,32.144,33.726,31.839,29.632,28.16,27.136,25.948,24.585,23.82,21.771,21.024,19.889,18.731,18.464,18.123,16.49,15.983,14.515,15.155,15.525,14.404,13.284,13.294,12.047,11.552,13.085,13.428,17.582,18.507,13.491,30.125,29.439,29.514,28.33,26.956,25.871,25.114,24.176,24.467,25.384,21.148,20.672,20.19,18.845,18.43,17.518,16.2,15.416,14.772,15.806,15.813,14.949,14.15,13.419,12.194,11.432,13.057,14.111,17.839,18.592,13.081
0,0,33.751,33.035,31.434,29.412,27.026,25.296,24.289,23.025,22.229,20.952,18.952,18.384,17.148,16.063,16.068,15.765,14.229,13.704,12.458,13.348,13.565,12.759,11.599,11.485,10.376,10.279,11.763,11.702,15.055,15.979,11.831,30.91,30.131,29.446,28.204,26.802,25.614,24.934,23.936,24.284,25.063,20.915,20.469,19.888,18.571,18.177,17.296,15.931,15.185,14.561,15.585,15.546,14.722,13.911,13.203,11.983,11.284,12.88,13.858,17.509,18.263,12.866
0,0,32.472,30.399,29.912,28.091,28.047,26.62,25.432,24.223,23.344,22.735,20.809,20.033,19.108,18.129,18.216,16.971,15.248,15.216,14.256,14.185,13.578,13.094,11.853,11.459,10.415,10.267,11.439,10.93,13.207,13.999,11.116,31.304,30.158,29.527,28.29,27.13,25.971,25.217,24.265,24.459,25.152,21.333,20.815,20.267,18.982,18.614,17.625,16.265,15.568,14.924,15.698,15.562,14.742,13.898,13.214,11.979,11.308,12.824,13.685,17.223,17.965,12.737
0,0,30.984,29.555,30.416,28.462,27.393,24.876,23.02,21.996,21.194,20.18,18.406,17.549,16.46,15.735,15.969,15.04,13.751,14.49,12.883,13.174,12.29,11.99,11.076,10.625,10.097,10.208,11.346,10.754,12.279,12.959,10.717,31.103,30.059,29.752,28.446,27.25,25.893,25.045,24.028,24.148,24.846,21.089,20.564,19.957,18.745,18.368,17.392,16.05,15.502,14.751,15.524,15.337,14.573,13.722,13.02,11.863,11.273,12.74,13.526,16.958,17.693,12.592
0,0,31.191,28.92,28.021,26.092,25.268,22.342,20.828,20.028,20.365,17.736,15.927,15.734,15.128,16.253,16.142,15.552,13.736,13.413,11.522,12.1,12.148,12.019,10.558,10.08,9.5116,9.8833,10.923,9.641,10.874,11.416,10.316,31.53,30.31,29.655,28.386,27.205,25.896,24.975,24.062,24.104,24.633,21.025,20.512,19.871,18.809,18.428,17.488,16.12,15.437,14.649,15.388,15.204,14.479,13.608,12.89,11.754,11.229,12.63,13.287,16.653,17.382,12.443
0,0,29.658,26.137,25.431,23.701,23.12,19.824,18.445,17.767,20.512,15.36,14.277,14.317,13.543,14.271,14.377,14.432,12.549,12.671,10.866,12.126,12.004,11.91,10.084,9.7497,8.5998,9.2474,10.128,8.9111,9.9033,10.701,9.953,31.331,29.999,29.463,28.092,27.03,25.636,24.748,23.78,24.08,24.313,20.718,20.228,19.65,18.603,18.164,17.358,15.945,15.286,14.473,15.214,15.066,14.334,13.407,12.713,11.555,11.077,12.438,13.04,16.346,17.079,12.273
0,0,27.856,23.533,23.355,23.108,21.161,19.227,17.061,18.573,18.552,14.326,12.915,13.631,12.496,12.848,13.354,14.791,11.646,11.831,10.316,12.426,11.702,11.283,9.647,9.1602,8.3052,8.6051,9.7971,8.4267,9.0717,9.9567,9.7042,31.377,29.905,29.383,28.17,26.964,25.574,24.647,23.729,23.877,24.152,20.672,20.208,19.461,18.499,18.05,17.379,15.862,15.268,14.405,15.159,14.949,14.195,13.261,12.577,11.45,10.953,12.3,12.824,16.044,16.777,12.128
0,0,26.015,23.652,20.802,27.236,28.124,28.191,20.378,20.637,19.64,13.138,10.874,11.775,10.468,10.966,12.476,13.175,10.544,10.721,10.176,11.688,10.809,11.014,9.3372,8.829,8.0133,8.2287,9.5102,8.2012,8.7264,9.5406,9.5352,31.202,29.917,29.097,28.267,27.493,26.448,24.698,23.803,23.788,23.857,20.523,19.947,19.3,18.274,17.89,17.181,15.693,15.104,14.211,14.964,14.733,14.047,13.082,12.395,11.274,10.813,12.134,12.58,15.743,16.474,11.964
0,0,24.331,25.717,29.437,32.743,33.31,34.037,32.986,30.627,30.053,28.902,27.719,26.571,25.542,24.36,23.455,21.973,21.367,20.523,19.211,19.059,17.721,17.489,15.673,14.917,14.23,13.727,13.901,12.634,12.443,12.762,12.668,31.205,29.871,29.607,29.519,29.027,28.811,27.7,26.237,26.049,25.727,23.471,22.703,21.897,20.779,20.15,19.087,18.058,17.328,16.265,16.564,15.981,15.387,14.174,13.456,12.47,11.928,12.868,12.994,15.731,16.414,12.405
0,0,32.968,34.191,37.449,35.167,37.775,37.31,36.915,34.815,33.956,33.054,31.596,30.501,29.133,28.033,26.997,25.862,24.735,23.953,22.921,22.11,21.032,20.441,18.947,18.134,17.34,16.464,16.083,15.236,14.813,14.846,14.78,31.828,31.154,32.135,30.845,31.711,31.216,30.581,29.09,28.567,28.112,26.308,25.462,24.388,23.346,22.519,21.483,20.372,19.65,18.635,18.351,17.615,16.984,15.694,14.946,14.016,13.314,13.785,13.735,15.907,16.503,13.098
