L_FB,L_SB,L_F20,L_F25,L_F32,L_F40,L_F50,L_F63,L_F80,L_F100,L_F125,L_F160,L_F200,L_F250,L_F315,L_F400,L_F500,L_F630,L_F800,L_F1k,L_F1k25,L_F1k6,L_F2k,L_F2k5,L_F3k15,L_F4k,L_F5k,L_F6k3,L_F8k,L_F10k,L_F12k5,L_F16k,L_F20k,L_S20,L_S25,L_S32,L_S40,L_S50,L_S63,L_S80,L_S100,L_S125,L_S160,L_S200,L_S250,L_S315,L_S400,L_S500,L_S630,L_S800,L_S1k,L_S1k25,L_S1k6,L_S2k,L_S2k5,L_S3k15,L_S4k,L_S5k,L_S6k3,L_S8k,L_S10k,L_S12k5,L_S16k,L_S20k
0,0,14.223,8.4619,13.053,14.163,13.884,15.612,13.63,22.153,35.563,23.637,19.365,30.385,24.848,36.124,32.13,26.661,19.249,20.653,13.34,13.911,15.59,15.197,11.795,10.285,9.5314,9.1486,10.238,9.6344,10.351,11.533,10.124,31.911,30.507,29.739,28.986,28.257,27.188,25.702,25.689,33.654,26.04,24.076,29.807,25.795,35.933,31.906,26.622,20.285,21.027,16.107,15.882,16.719,16.316,13.608,12.746,11.67,11.038,11.682,11.382,12.269,12.548,10.797
0,0,13.869,11.112,11.069,15.669,12.664,13.442,11.638,19.424,32.617,20.79,16.563,27.436,22.032,33.17,29.199,23.786,16.517,17.917,11.469,12.44,13.289,13.183,10.816,13.691,16.903,10.275,10.131,9.9702,9.7859,10.585,10.034,31.499,30.693,29.486,28.945,28.203,27.119,25.761,25.609,33.359,25.59,23.705,29.457,25.487,35.567,31.547,26.277,19.99,20.707,15.896,15.692,16.429,16.068,13.427,13.19,13.281,11.094,11.592,11.346,12.093,12.364,10.757
0,0,15.03,12.046,12.051,14.667,12.158,12.702,10.543,18.289,30.114,18.119,15.321,25.33,19.518,30.249,26.442,21.182,15.119,15.887,10.752,11.433,12.059,12.225,10.126,12.159,14.611,9.5698,10.038,9.3324,9.0651,9.9644,9.6609,31.47,30.221,29.586,28.666,27.919,26.936,25.537,25.222,32.995,25.216,23.533,29.152,25.16,35.199,31.193,25.941,19.734,20.409,15.639,15.454,16.207,15.808,13.218,12.978,13.101,10.985,11.517,11.073,11.462,11.789,10.576
0,0,16.02,17.209,11.371,12.517,12.953,15.094,13.091,18.22,28.165,16.555,13.646,22.658,16.756,27.337,23.63,18.59,13.638,15.335,12.422,11.957,11.634,12.13,10.6,11.245,13.336,9.8965,10.59,8.6749,9.0701,9.8054,9.5921,30.403,30.612,28.768,28.253,27.672,26.677,25.426,24.99,32.711,25.013,23.274,28.815,24.843,34.834,30.836,25.607,19.475,20.195,15.595,15.321,15.923,15.635,13.108,12.795,13.015,10.935,11.399,10.705,10.993,11.231,10.475
0,0,16.765,16.295,10.553,13.445,11.767,14.014,10.986,18.029,25.549,14.766,17.407,19.955,16.572,24.603,21.371,17.771,15.307,14.03,13.225,12.304,12.832,13.396,10.714,11.36,11.915,9.521,10.126,8.6615,9.1169,9.3919,9.4317,32.117,31.378,30.669,29.844,28.594,26.616,24.937,25.867,32.501,24.854,23.807,28.606,24.776,34.488,30.52,25.392,19.686,20.115,16,15.598,16.108,15.833,13.298,12.982,13.042,11.066,11.47,10.732,10.775,10.901,10.473
0,0,16.015,13.534,9.2859,13.83,10.2,13.143,11.728,20.32,23.143,13.655,24.177,18.525,22.642,26.754,24.305,16.291,13.662,12.533,11.947,12.198,12.118,12.543,9.8552,10.388,10.538,9.1471,10.185,8.4218,8.9638,9.2219,9.3354,30.935,29.734,28.757,28.165,27.29,26.158,24.798,24.909,32.044,24.397,23.642,28.148,24.63,34.191,30.262,24.987,19.143,19.624,15.412,15.098,15.641,15.415,12.846,12.591,12.641,10.729,11.223,10.424,10.5,10.596,10.228
0,0,16.972,12.834,15.54,11.879,8.5278,11.968,10.155,21.933,21.228,12.664,23.581,19.288,24.789,26.781,23.605,16.49,11.841,11.375,11.064,12.644,11.133,12.163,9.36,11.795,11.186,9.7043,10.454,8.5634,9.1148,9.1086,9.3127,31.121,29.103,28.811,27.771,26.948,25.979,24.663,24.857,31.689,24.167,23.685,27.857,24.849,33.906,29.974,24.686,18.857,19.337,15.237,15.041,15.403,15.249,12.668,12.63,12.604,10.72,11.176,10.334,10.416,10.5,10.175
0,0,20.498,12.795,15.291,12.7,14.089,13.446,14.217,19.774,20.119,11.684,21.291,18.367,21.989,23.944,21.413,15.318,10.62,11.021,9.8514,12.021,11.384,11.008,8.8703,10.755,10.064,9.4881,10.263,8.8192,9.77,10.058,9.3964,30.792,29.001,27.86,27.025,26.676,26.206,25.03,24.569,31.345,24.107,23.447,27.546,24.556,33.546,29.635,24.374,18.585,19.071,15.055,14.919,15.254,15.041,12.512,12.495,12.417,10.672,11.136,10.283,10.457,10.561,10.143
0,0,20.307,16.002,14.663,15.831,19.18,20.989,17.228,23.79,23.621,13.556,19.347,16.227,19.565,21.207,19.425,14.91,10.775,10.59,9.362,11.239,10.742,10.6,9.2456,9.575,8.8977,8.8822,10.303,8.5897,9.304,9.4468,9.326,30.823,29.518,28.676,27.752,26.968,25.977,24.729,25.126,31.154,23.896,23.385,27.265,24.316,33.187,29.296,24.103,18.456,18.866,14.996,14.874,15.146,14.892,12.475,12.374,12.278,10.645,11.147,10.228,10.394,10.493,10.147
0,0,18.911,20.018,14.358,18.267,19.094,23.018,18.796,22.113,22.346,14.652,17.412,13.809,16.767,18.53,17.355,13.891,11.132,10.416,9.0091,11.114,11.025,10.765,9.9262,9.4405,8.5879,8.8597,10.219,8.5213,9.3514,9.7479,9.4848,30.724,29.609,28.528,27.812,26.954,26.118,24.589,25.029,30.837,23.572,23.159,26.924,23.981,32.821,28.945,23.772,18.228,18.587,14.772,14.683,14.977,14.712,12.407,12.227,12.091,10.535,11.081,10.134,10.315,10.446,10.11
